counter, setup, keyextract, sign, verify, total, bitsize 
1,25.548117,5.904511,20.407220,31.725641,58.037372,860 
2,30.999323,6.029157,25.309696,42.766902,74.105755,933 
3,35.732709,7.585996,29.972880,52.939771,90.498647,1006 
4,40.863477,8.188354,34.950114,64.330691,107.469159,1146 
5,45.799822,8.746362,40.183157,75.295489,124.225008,1220 
6,51.073105,9.752453,45.088021,84.662153,139.502627,1294 
7,55.991302,10.496141,49.964738,94.583584,155.044463,1367 
8,61.289696,12.014518,55.209337,106.079261,173.303116,1439 
9,66.443797,14.250232,59.579508,117.315442,191.145182,1662 
10,72.082128,14.086847,64.918161,126.823956,205.828964,1737 
